+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | dev/data/tinyshakespeare/tiny_shakespeare_train.bin |
| val data pattern      | dev/data/tinyshakespeare/tiny_shakespeare_val.bin  |
| output log file       | NULL                                               |
| batch size B          | 4                                                  |
| sequence length T     | 1024                                               |
| learning rate         | 0.000300                                           |
| val_loss_every        | 1000                                               |
| val_max_steps         | 20                                                 |
| sample_every          | 1000                                               |
| genT                  | 1                                                  |
+-----------------------+----------------------------------------------------+
| device                | NVIDIA GeForce RTX 4090                            |
| TF32                  | enabled                                            |
+-----------------------+----------------------------------------------------+
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
| train_num_batches     | 74                                                 |
| val_num_batches       | 8                                                  |
+-----------------------+----------------------------------------------------+
allocated 474 MiB for model parameters
allocated 5706 MiB for activations
val loss 4.513886
allocated 474 MiB for parameter gradients
allocated 252 MiB for activation gradients
allocated 474 MiB for AdamW optimizer state m
allocated 474 MiB for AdamW optimizer state v
step    1/74: train loss 4.287312 (97.302297 ms, 42095 tok/s)
step    2/74: train loss 4.727058 (95.597330 ms, 42846 tok/s)
step    3/74: train loss 4.392602 (95.617660 ms, 42837 tok/s)
step    4/74: train loss 3.628426 (95.595800 ms, 42847 tok/s)
step    5/74: train loss 3.717059 (95.618460 ms, 42836 tok/s)
step    6/74: train loss 4.013130 (95.595130 ms, 42847 tok/s)
step    7/74: train loss 4.111174 (95.608620 ms, 42841 tok/s)
step    8/74: train loss 3.623492 (95.610271 ms, 42840 tok/s)
step    9/74: train loss 3.965232 (95.630830 ms, 42831 tok/s)
step   10/74: train loss 3.581234 (95.621301 ms, 42835 tok/s)
step   11/74: train loss 4.028444 (95.591410 ms, 42849 tok/s)
step   12/74: train loss 3.813666 (95.603041 ms, 42843 tok/s)
step   13/74: train loss 4.029229 (95.595299 ms, 42847 tok/s)
step   14/74: train loss 3.885149 (95.636182 ms, 42828 tok/s)
step   15/74: train loss 3.711847 (95.598200 ms, 42845 tok/s)
step   16/74: train loss 3.553729 (95.604591 ms, 42843 tok/s)
step   17/74: train loss 3.987323 (95.596751 ms, 42846 tok/s)
step   18/74: train loss 3.809008 (95.643331 ms, 42825 tok/s)
step   19/74: train loss 3.533807 (95.611001 ms, 42840 tok/s)
step   20/74: train loss 3.678106 (95.580879 ms, 42853 tok/s)
