+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | dev/data/tinyshakespeare/tiny_shakespeare_train.bin |
| val data pattern      | dev/data/tinyshakespeare/tiny_shakespeare_val.bin  |
| output log file       | NULL                                               |
| batch size B          | 4                                                  |
| sequence length T     | 1024                                               |
| learning rate         | 0.000300                                           |
| val_loss_every        | 1000                                               |
| val_max_steps         | 20                                                 |
| sample_every          | 1000                                               |
| genT                  | 1                                                  |
+-----------------------+----------------------------------------------------+
| device                | NVIDIA GeForce RTX 4090                            |
| TF32                  | enabled                                            |
+-----------------------+----------------------------------------------------+
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
| train_num_batches     | 74                                                 |
| val_num_batches       | 8                                                  |
+-----------------------+----------------------------------------------------+
allocated 474 MiB for model parameters
allocated 5706 MiB for activations
val loss 4.513886
allocated 474 MiB for parameter gradients
allocated 252 MiB for activation gradients
allocated 474 MiB for AdamW optimizer state m
allocated 474 MiB for AdamW optimizer state v
step    1/74: train loss 4.287312 (96.921120 ms, 42261 tok/s)
step    2/74: train loss 4.727027 (95.216039 ms, 43017 tok/s)
step    3/74: train loss 4.392550 (95.250639 ms, 43002 tok/s)
step    4/74: train loss 3.628391 (95.202307 ms, 43024 tok/s)
step    5/74: train loss 3.717044 (95.208387 ms, 43021 tok/s)
step    6/74: train loss 4.013146 (95.203708 ms, 43023 tok/s)
step    7/74: train loss 4.111236 (95.200248 ms, 43025 tok/s)
step    8/74: train loss 3.623510 (95.230189 ms, 43011 tok/s)
step    9/74: train loss 3.965266 (95.195317 ms, 43027 tok/s)
step   10/74: train loss 3.581295 (95.204169 ms, 43023 tok/s)
step   11/74: train loss 4.028404 (95.222379 ms, 43015 tok/s)
step   12/74: train loss 3.813583 (95.228479 ms, 43012 tok/s)
step   13/74: train loss 4.029197 (95.216049 ms, 43017 tok/s)
step   14/74: train loss 3.885109 (95.206289 ms, 43022 tok/s)
step   15/74: train loss 3.711911 (95.226149 ms, 43013 tok/s)
step   16/74: train loss 3.553651 (95.218329 ms, 43016 tok/s)
step   17/74: train loss 3.987259 (95.247881 ms, 43003 tok/s)
step   18/74: train loss 3.809043 (95.236270 ms, 43008 tok/s)
step   19/74: train loss 3.533827 (95.234681 ms, 43009 tok/s)
step   20/74: train loss 3.678108 (95.232341 ms, 43010 tok/s)
step   21/74: train loss 3.608687 (95.220069 ms, 43016 tok/s)
step   22/74: train loss 3.612095 (95.217670 ms, 43017 tok/s)
step   23/74: train loss 3.147360 (95.211460 ms, 43020 tok/s)
step   24/74: train loss 3.344361 (95.214879 ms, 43018 tok/s)
step   25/74: train loss 3.706443 (95.206429 ms, 43022 tok/s)
step   26/74: train loss 3.539911 (95.204910 ms, 43022 tok/s)
step   27/74: train loss 3.843943 (95.211229 ms, 43020 tok/s)
step   28/74: train loss 3.445854 (95.226870 ms, 43013 tok/s)
step   29/74: train loss 3.317765 (95.234042 ms, 43009 tok/s)
step   30/74: train loss 3.279781 (95.206950 ms, 43022 tok/s)
step   31/74: train loss 3.154467 (95.229161 ms, 43012 tok/s)
step   32/74: train loss 3.444769 (95.219081 ms, 43016 tok/s)
step   33/74: train loss 3.566376 (95.212829 ms, 43019 tok/s)
step   34/74: train loss 3.485441 (95.237220 ms, 43008 tok/s)
step   35/74: train loss 3.722191 (95.244292 ms, 43005 tok/s)
step   36/74: train loss 3.379520 (95.234291 ms, 43009 tok/s)
step   37/74: train loss 3.199949 (95.240402 ms, 43006 tok/s)
step   38/74: train loss 3.180599 (95.210070 ms, 43020 tok/s)
step   39/74: train loss 3.600975 (95.196200 ms, 43026 tok/s)
step   40/74: train loss 3.083227 (95.194870 ms, 43027 tok/s)
step   41/74: train loss 3.829515 (95.231771 ms, 43010 tok/s)
step   42/74: train loss 3.363218 (95.203490 ms, 43023 tok/s)
step   43/74: train loss 3.355126 (95.216632 ms, 43017 tok/s)
step   44/74: train loss 3.418697 (95.209931 ms, 43020 tok/s)
step   45/74: train loss 3.608519 (95.230531 ms, 43011 tok/s)
step   46/74: train loss 3.130147 (95.213172 ms, 43019 tok/s)
step   47/74: train loss 3.464164 (95.233772 ms, 43009 tok/s)
step   48/74: train loss 3.974083 (95.220662 ms, 43015 tok/s)
step   49/74: train loss 3.224232 (95.212663 ms, 43019 tok/s)
step   50/74: train loss 3.418196 (95.197082 ms, 43026 tok/s)
step   51/74: train loss 3.760265 (95.248133 ms, 43003 tok/s)
step   52/74: train loss 3.769399 (95.211171 ms, 43020 tok/s)
step   53/74: train loss 3.411461 (95.217602 ms, 43017 tok/s)
step   54/74: train loss 3.389903 (95.189402 ms, 43030 tok/s)
step   55/74: train loss 3.274295 (95.224682 ms, 43014 tok/s)
step   56/74: train loss 3.261073 (95.224582 ms, 43014 tok/s)
step   57/74: train loss 3.027659 (95.227392 ms, 43012 tok/s)
step   58/74: train loss 3.478944 (95.217103 ms, 43017 tok/s)
step   59/74: train loss 3.271178 (95.221883 ms, 43015 tok/s)
step   60/74: train loss 3.496194 (95.204964 ms, 43022 tok/s)
step   61/74: train loss 3.213209 (95.234083 ms, 43009 tok/s)
step   62/74: train loss 3.451420 (95.223264 ms, 43014 tok/s)
step   63/74: train loss 3.371095 (95.203812 ms, 43023 tok/s)
step   64/74: train loss 3.408582 (95.218782 ms, 43016 tok/s)
step   65/74: train loss 3.579330 (95.218712 ms, 43016 tok/s)
step   66/74: train loss 3.030422 (95.183572 ms, 43032 tok/s)
step   67/74: train loss 3.295904 (95.237154 ms, 43008 tok/s)
step   68/74: train loss 3.676724 (95.208613 ms, 43021 tok/s)
step   69/74: train loss 3.297528 (95.226014 ms, 43013 tok/s)
step   70/74: train loss 3.646968 (95.183502 ms, 43032 tok/s)
step   71/74: train loss 3.567769 (95.230105 ms, 43011 tok/s)
step   72/74: train loss 3.733823 (95.235654 ms, 43009 tok/s)
step   73/74: train loss 3.823974 (95.229865 ms, 43011 tok/s)
step   74/74: train loss 3.381952 (95.197453 ms, 43026 tok/s)
val loss 3.492476
generating:
---

---
total average iteration time: 95.241366 ms
