+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | experiments/data/tinyshakespeare_10x/*.bin         |
| val data pattern      | dev/data/tinyshakespeare/tiny_shakespeare_val.bin  |
| output log file       | NULL                                               |
| batch size B          | 4                                                  |
| sequence length T     | 1024                                               |
| learning rate         | 0.000300                                           |
| val_loss_every        | 74                                                 |
| val_max_steps         | 20                                                 |
| sample_every          | 1000                                               |
| genT                  | 1                                                  |
+-----------------------+----------------------------------------------------+
| device                | NVIDIA GeForce RTX 4090                            |
| TF32                  | enabled                                            |
+-----------------------+----------------------------------------------------+
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
| train_num_batches     | 745                                                |
| val_num_batches       | 8                                                  |
+-----------------------+----------------------------------------------------+
allocated 474 MiB for model parameters
allocated 5706 MiB for activations
val loss 4.513806
allocated 474 MiB for parameter gradients
allocated 252 MiB for activation gradients
allocated 474 MiB for AdamW optimizer state m
allocated 474 MiB for AdamW optimizer state v
step    1/745: train loss 4.255594 (85.590052 ms, 47856 tok/s)
step    2/745: train loss 4.557293 (84.118557 ms, 48693 tok/s)
step    3/745: train loss 3.833213 (84.097028 ms, 48705 tok/s)
step    4/745: train loss 3.513975 (84.144492 ms, 48678 tok/s)
step    5/745: train loss 3.571117 (84.091251 ms, 48708 tok/s)
step    6/745: train loss 3.602020 (84.117052 ms, 48694 tok/s)
step    7/745: train loss 3.933430 (84.104610 ms, 48701 tok/s)
step    8/745: train loss 3.810243 (84.122492 ms, 48690 tok/s)
step    9/745: train loss 3.304213 (84.115782 ms, 48694 tok/s)
step   10/745: train loss 3.660959 (84.110360 ms, 48697 tok/s)
step   11/745: train loss 3.686314 (84.128592 ms, 48687 tok/s)
step   12/745: train loss 3.680469 (84.118561 ms, 48693 tok/s)
step   13/745: train loss 3.686824 (84.102071 ms, 48702 tok/s)
step   14/745: train loss 3.442571 (84.104732 ms, 48701 tok/s)
step   15/745: train loss 3.821359 (84.106163 ms, 48700 tok/s)
step   16/745: train loss 3.467004 (84.125024 ms, 48689 tok/s)
step   17/745: train loss 3.600783 (84.106156 ms, 48700 tok/s)
step   18/745: train loss 3.429257 (84.124835 ms, 48689 tok/s)
step   19/745: train loss 3.462847 (84.122246 ms, 48691 tok/s)
step   20/745: train loss 3.559205 (84.121314 ms, 48691 tok/s)
step   21/745: train loss 3.609341 (84.114406 ms, 48695 tok/s)
step   22/745: train loss 3.835002 (84.105614 ms, 48700 tok/s)
step   23/745: train loss 3.437414 (84.118305 ms, 48693 tok/s)
step   24/745: train loss 3.693018 (84.108686 ms, 48698 tok/s)
step   25/745: train loss 3.974161 (84.107744 ms, 48699 tok/s)
step   26/745: train loss 3.723330 (84.115016 ms, 48695 tok/s)
step   27/745: train loss 3.654794 (84.086256 ms, 48711 tok/s)
step   28/745: train loss 3.467985 (84.113280 ms, 48696 tok/s)
step   29/745: train loss 3.370920 (84.143418 ms, 48678 tok/s)
step   30/745: train loss 3.257379 (84.106129 ms, 48700 tok/s)
step   31/745: train loss 3.524692 (84.128899 ms, 48687 tok/s)
step   32/745: train loss 3.824744 (84.118249 ms, 48693 tok/s)
step   33/745: train loss 3.792231 (84.116369 ms, 48694 tok/s)
step   34/745: train loss 3.672918 (84.116799 ms, 48694 tok/s)
step   35/745: train loss 3.650448 (84.117949 ms, 48693 tok/s)
step   36/745: train loss 3.346282 (84.114429 ms, 48695 tok/s)
step   37/745: train loss 3.051851 (84.114520 ms, 48695 tok/s)
step   38/745: train loss 3.694093 (84.123278 ms, 48690 tok/s)
step   39/745: train loss 3.516845 (84.109241 ms, 48698 tok/s)
step   40/745: train loss 3.330915 (84.098272 ms, 48704 tok/s)
step   41/745: train loss 3.714240 (84.115203 ms, 48695 tok/s)
step   42/745: train loss 3.768752 (84.129013 ms, 48687 tok/s)
step   43/745: train loss 3.353428 (84.134944 ms, 48683 tok/s)
step   44/745: train loss 3.488072 (84.102033 ms, 48702 tok/s)
step   45/745: train loss 3.559606 (84.128022 ms, 48687 tok/s)
step   46/745: train loss 3.340383 (84.108293 ms, 48699 tok/s)
step   47/745: train loss 3.358476 (84.128433 ms, 48687 tok/s)
step   48/745: train loss 3.347214 (84.108292 ms, 48699 tok/s)
step   49/745: train loss 3.410876 (84.098773 ms, 48704 tok/s)
step   50/745: train loss 3.302736 (84.111584 ms, 48697 tok/s)
step   51/745: train loss 3.694612 (84.134495 ms, 48683 tok/s)
step   52/745: train loss 3.392398 (84.131697 ms, 48685 tok/s)
step   53/745: train loss 3.518519 (84.119996 ms, 48692 tok/s)
step   54/745: train loss 3.086805 (84.104956 ms, 48701 tok/s)
step   55/745: train loss 3.838402 (84.126907 ms, 48688 tok/s)
step   56/745: train loss 3.543888 (84.113597 ms, 48696 tok/s)
step   57/745: train loss 3.424933 (84.127416 ms, 48688 tok/s)
step   58/745: train loss 3.236990 (84.108236 ms, 48699 tok/s)
step   59/745: train loss 3.071757 (84.108347 ms, 48699 tok/s)
step   60/745: train loss 3.171920 (84.119807 ms, 48692 tok/s)
step   61/745: train loss 3.337211 (84.126246 ms, 48688 tok/s)
step   62/745: train loss 3.729892 (84.118577 ms, 48693 tok/s)
step   63/745: train loss 3.035295 (84.104020 ms, 48701 tok/s)
step   64/745: train loss 3.373715 (84.115640 ms, 48694 tok/s)
step   65/745: train loss 3.710268 (84.123141 ms, 48690 tok/s)
step   66/745: train loss 3.105670 (84.128131 ms, 48687 tok/s)
step   67/745: train loss 3.539139 (84.090221 ms, 48709 tok/s)
step   68/745: train loss 3.567390 (84.106479 ms, 48700 tok/s)
step   69/745: train loss 3.473068 (84.122310 ms, 48691 tok/s)
step   70/745: train loss 3.091099 (84.109771 ms, 48698 tok/s)
step   71/745: train loss 3.862349 (84.111831 ms, 48697 tok/s)
step   72/745: train loss 3.399562 (84.129530 ms, 48686 tok/s)
step   73/745: train loss 3.149769 (84.103911 ms, 48701 tok/s)
step   74/745: train loss 3.567871 (84.129301 ms, 48686 tok/s)
val loss 3.506806
step   75/745: train loss 3.167191 (84.142865 ms, 48679 tok/s)
step   76/745: train loss 2.984888 (84.093035 ms, 48707 tok/s)
step   77/745: train loss 2.925325 (84.127014 ms, 48688 tok/s)
step   78/745: train loss 2.775331 (84.121544 ms, 48691 tok/s)
step   79/745: train loss 2.987693 (84.193925 ms, 48649 tok/s)
step   80/745: train loss 3.299945 (84.144754 ms, 48678 tok/s)
step   81/745: train loss 3.253714 (84.097204 ms, 48705 tok/s)
step   82/745: train loss 3.283091 (84.106465 ms, 48700 tok/s)
step   83/745: train loss 2.993589 (84.133725 ms, 48684 tok/s)
step   84/745: train loss 3.081097 (84.109786 ms, 48698 tok/s)
step   85/745: train loss 2.886764 (84.100459 ms, 48703 tok/s)
step   86/745: train loss 2.645086 (84.105377 ms, 48700 tok/s)
step   87/745: train loss 2.993941 (84.123789 ms, 48690 tok/s)
step   88/745: train loss 3.074992 (84.132178 ms, 48685 tok/s)
step   89/745: train loss 2.895738 (84.105289 ms, 48700 tok/s)
step   90/745: train loss 3.241475 (84.114967 ms, 48695 tok/s)
