+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | experiments/data/tinyshakespeare_10x/*.bin         |
| val data pattern      | dev/data/tinyshakespeare/tiny_shakespeare_val.bin  |
| output log file       | NULL                                               |
| batch size B          | 4                                                  |
| sequence length T     | 1024                                               |
| learning rate         | 0.000300                                           |
| val_loss_every        | 74                                                 |
| val_max_steps         | 20                                                 |
| sample_every          | 1000                                               |
| genT                  | 1                                                  |
+-----------------------+----------------------------------------------------+
| device                | NVIDIA GeForce RTX 4090                            |
| TF32                  | enabled                                            |
+-----------------------+----------------------------------------------------+
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
| train_num_batches     | 745                                                |
| val_num_batches       | 8                                                  |
+-----------------------+----------------------------------------------------+
allocated 474 MiB for model parameters
allocated 5706 MiB for activations
val loss 4.503176
allocated 474 MiB for parameter gradients
allocated 252 MiB for activation gradients
allocated 474 MiB for AdamW optimizer state m
allocated 474 MiB for AdamW optimizer state v
step    1/745: train loss 4.238344 (72.131935 ms, 56784 tok/s)
step    2/745: train loss 4.624230 (70.630775 ms, 57991 tok/s)
step    3/745: train loss 3.909226 (70.646084 ms, 57979 tok/s)
step    4/745: train loss 3.534697 (70.648095 ms, 57977 tok/s)
step    5/745: train loss 3.601970 (70.631614 ms, 57991 tok/s)
step    6/745: train loss 3.628473 (70.618696 ms, 58001 tok/s)
step    7/745: train loss 3.950955 (70.639464 ms, 57984 tok/s)
step    8/745: train loss 3.829607 (70.638835 ms, 57985 tok/s)
step    9/745: train loss 3.329098 (70.640995 ms, 57983 tok/s)
step   10/745: train loss 3.673220 (70.634274 ms, 57988 tok/s)
step   11/745: train loss 3.697488 (70.633855 ms, 57989 tok/s)
step   12/745: train loss 3.695564 (70.615235 ms, 58004 tok/s)
step   13/745: train loss 3.697597 (70.624876 ms, 57996 tok/s)
step   14/745: train loss 3.460738 (70.615098 ms, 58004 tok/s)
step   15/745: train loss 3.831586 (70.623087 ms, 57998 tok/s)
step   16/745: train loss 3.481043 (70.642679 ms, 57981 tok/s)
step   17/745: train loss 3.613299 (70.634096 ms, 57988 tok/s)
step   18/745: train loss 3.438121 (70.647418 ms, 57978 tok/s)
step   19/745: train loss 3.475149 (70.621498 ms, 57999 tok/s)
step   20/745: train loss 3.573956 (70.640226 ms, 57983 tok/s)
step   21/745: train loss 3.628409 (70.614548 ms, 58005 tok/s)
step   22/745: train loss 3.850224 (70.606906 ms, 58011 tok/s)
step   23/745: train loss 3.460287 (70.634227 ms, 57988 tok/s)
step   24/745: train loss 3.686340 (70.635217 ms, 57988 tok/s)
step   25/745: train loss 3.954989 (70.643078 ms, 57981 tok/s)
step   26/745: train loss 3.727907 (70.638317 ms, 57985 tok/s)
step   27/745: train loss 3.646628 (70.615079 ms, 58004 tok/s)
step   28/745: train loss 3.468375 (70.622261 ms, 57998 tok/s)
step   29/745: train loss 3.369566 (70.631539 ms, 57991 tok/s)
step   30/745: train loss 3.253619 (70.617490 ms, 58002 tok/s)
step   31/745: train loss 3.512403 (70.631511 ms, 57991 tok/s)
step   32/745: train loss 3.816499 (70.626060 ms, 57995 tok/s)
step   33/745: train loss 3.781579 (70.619239 ms, 58001 tok/s)
step   34/745: train loss 3.670019 (70.623091 ms, 57998 tok/s)
step   35/745: train loss 3.644359 (70.623080 ms, 57998 tok/s)
step   36/745: train loss 3.343375 (70.639440 ms, 57984 tok/s)
step   37/745: train loss 3.049645 (70.647151 ms, 57978 tok/s)
step   38/745: train loss 3.685143 (70.633040 ms, 57989 tok/s)
step   39/745: train loss 3.507290 (70.648930 ms, 57976 tok/s)
step   40/745: train loss 3.323196 (70.626101 ms, 57995 tok/s)
step   41/745: train loss 3.714776 (70.624673 ms, 57996 tok/s)
step   42/745: train loss 3.768274 (70.618422 ms, 58001 tok/s)
step   43/745: train loss 3.350978 (70.631353 ms, 57991 tok/s)
step   44/745: train loss 3.484479 (70.656123 ms, 57970 tok/s)
step   45/745: train loss 3.556502 (70.624494 ms, 57996 tok/s)
step   46/745: train loss 3.336375 (70.619232 ms, 58001 tok/s)
step   47/745: train loss 3.359227 (70.622923 ms, 57998 tok/s)
step   48/745: train loss 3.345966 (70.628453 ms, 57993 tok/s)
step   49/745: train loss 3.408866 (70.652352 ms, 57974 tok/s)
step   50/745: train loss 3.295943 (70.612094 ms, 58007 tok/s)
step   51/745: train loss 3.698312 (70.602092 ms, 58015 tok/s)
step   52/745: train loss 3.387562 (70.627753 ms, 57994 tok/s)
step   53/745: train loss 3.521190 (70.626773 ms, 57995 tok/s)
step   54/745: train loss 3.083477 (70.625192 ms, 57996 tok/s)
step   55/745: train loss 3.846372 (70.625465 ms, 57996 tok/s)
step   56/745: train loss 3.544339 (70.643755 ms, 57981 tok/s)
step   57/745: train loss 3.427106 (70.638976 ms, 57984 tok/s)
step   58/745: train loss 3.234464 (70.620895 ms, 57999 tok/s)
step   59/745: train loss 3.084199 (70.623586 ms, 57997 tok/s)
step   60/745: train loss 3.175981 (70.623545 ms, 57997 tok/s)
step   61/745: train loss 3.333954 (70.640735 ms, 57983 tok/s)
step   62/745: train loss 3.731694 (70.636936 ms, 57986 tok/s)
step   63/745: train loss 3.039846 (70.619386 ms, 58001 tok/s)
step   64/745: train loss 3.379203 (70.639466 ms, 57984 tok/s)
step   65/745: train loss 3.712754 (70.650466 ms, 57975 tok/s)
step   66/745: train loss 3.109431 (70.628865 ms, 57993 tok/s)
