+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | dev/data/tinyshakespeare/tiny_shakespeare_train.bin |
| val data pattern      | dev/data/tinyshakespeare/tiny_shakespeare_val.bin  |
| output log file       | NULL                                               |
| batch size B          | 4                                                  |
| sequence length T     | 1024                                               |
| learning rate         | 0.000300                                           |
| val_loss_every        | 1000                                               |
| val_max_steps         | 20                                                 |
| sample_every          | 1000                                               |
| genT                  | 1                                                  |
+-----------------------+----------------------------------------------------+
| device                | NVIDIA GeForce RTX 4090                            |
| TF32                  | enabled                                            |
+-----------------------+----------------------------------------------------+
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
| train_num_batches     | 74                                                 |
| val_num_batches       | 8                                                  |
+-----------------------+----------------------------------------------------+
allocated 474 MiB for model parameters
allocated 5706 MiB for activations
val loss 4.513886
allocated 474 MiB for parameter gradients
allocated 252 MiB for activation gradients
allocated 474 MiB for AdamW optimizer state m
allocated 474 MiB for AdamW optimizer state v
step    1/74: train loss 4.287312 (96.904034 ms, 42268 tok/s)
step    2/74: train loss 4.727035 (95.242028 ms, 43006 tok/s)
step    3/74: train loss 4.392592 (95.270869 ms, 42993 tok/s)
step    4/74: train loss 3.628377 (95.230168 ms, 43011 tok/s)
step    5/74: train loss 3.717003 (95.241498 ms, 43006 tok/s)
step    6/74: train loss 4.013103 (95.230377 ms, 43011 tok/s)
step    7/74: train loss 4.111199 (95.235767 ms, 43009 tok/s)
step    8/74: train loss 3.623463 (95.217558 ms, 43017 tok/s)
step    9/74: train loss 3.965239 (95.222958 ms, 43014 tok/s)
step   10/74: train loss 3.581212 (95.246229 ms, 43004 tok/s)
step   11/74: train loss 4.028407 (95.218347 ms, 43016 tok/s)
step   12/74: train loss 3.813587 (95.217997 ms, 43017 tok/s)
step   13/74: train loss 4.029185 (95.235868 ms, 43009 tok/s)
step   14/74: train loss 3.885092 (95.233087 ms, 43010 tok/s)
step   15/74: train loss 3.711807 (95.249668 ms, 43002 tok/s)
step   16/74: train loss 3.553650 (95.211927 ms, 43019 tok/s)
step   17/74: train loss 3.987301 (95.244748 ms, 43004 tok/s)
step   18/74: train loss 3.808943 (95.214738 ms, 43018 tok/s)
step   19/74: train loss 3.533916 (95.258210 ms, 42998 tok/s)
step   20/74: train loss 3.678172 (95.232488 ms, 43010 tok/s)
step   21/74: train loss 3.608659 (95.235487 ms, 43009 tok/s)
step   22/74: train loss 3.612033 (95.253699 ms, 43000 tok/s)
step   23/74: train loss 3.147210 (95.243258 ms, 43005 tok/s)
step   24/74: train loss 3.344363 (95.223938 ms, 43014 tok/s)
step   25/74: train loss 3.706689 (95.226447 ms, 43013 tok/s)
step   26/74: train loss 3.539930 (95.257620 ms, 42999 tok/s)
step   27/74: train loss 3.844065 (95.255099 ms, 43000 tok/s)
step   28/74: train loss 3.445826 (95.263559 ms, 42996 tok/s)
step   29/74: train loss 3.317750 (95.203518 ms, 43023 tok/s)
step   30/74: train loss 3.279606 (95.233679 ms, 43009 tok/s)
step   31/74: train loss 3.154397 (95.232829 ms, 43010 tok/s)
step   32/74: train loss 3.444770 (95.229588 ms, 43011 tok/s)
step   33/74: train loss 3.566262 (95.240689 ms, 43006 tok/s)
step   34/74: train loss 3.485168 (95.217059 ms, 43017 tok/s)
step   35/74: train loss 3.722049 (95.252459 ms, 43001 tok/s)
step   36/74: train loss 3.379595 (95.234270 ms, 43009 tok/s)
step   37/74: train loss 3.199920 (95.241538 ms, 43006 tok/s)
step   38/74: train loss 3.180180 (95.227168 ms, 43012 tok/s)
step   39/74: train loss 3.600978 (95.233209 ms, 43010 tok/s)
step   40/74: train loss 3.083376 (95.244350 ms, 43005 tok/s)
step   41/74: train loss 3.829327 (95.254009 ms, 43000 tok/s)
step   42/74: train loss 3.363237 (95.221508 ms, 43015 tok/s)
step   43/74: train loss 3.355145 (95.249749 ms, 43002 tok/s)
step   44/74: train loss 3.418894 (95.241079 ms, 43006 tok/s)
step   45/74: train loss 3.608559 (95.222158 ms, 43015 tok/s)
step   46/74: train loss 3.130003 (95.220609 ms, 43015 tok/s)
step   47/74: train loss 3.464158 (95.251899 ms, 43001 tok/s)
step   48/74: train loss 3.974262 (95.203567 ms, 43023 tok/s)
step   49/74: train loss 3.224235 (95.248970 ms, 43003 tok/s)
step   50/74: train loss 3.417647 (95.239910 ms, 43007 tok/s)
step   51/74: train loss 3.760269 (95.252269 ms, 43001 tok/s)
step   52/74: train loss 3.769656 (95.207947 ms, 43021 tok/s)
step   53/74: train loss 3.411404 (95.223390 ms, 43014 tok/s)
step   54/74: train loss 3.389856 (95.241059 ms, 43006 tok/s)
step   55/74: train loss 3.274148 (95.264981 ms, 42995 tok/s)
step   56/74: train loss 3.261108 (95.231939 ms, 43010 tok/s)
step   57/74: train loss 3.027714 (95.225099 ms, 43013 tok/s)
step   58/74: train loss 3.479122 (95.242789 ms, 43005 tok/s)
step   59/74: train loss 3.271057 (95.240940 ms, 43006 tok/s)
step   60/74: train loss 3.496306 (95.259139 ms, 42998 tok/s)
step   61/74: train loss 3.212758 (95.248350 ms, 43003 tok/s)
step   62/74: train loss 3.451133 (95.228099 ms, 43012 tok/s)
step   63/74: train loss 3.371131 (95.214028 ms, 43018 tok/s)
step   64/74: train loss 3.408410 (95.228129 ms, 43012 tok/s)
step   65/74: train loss 3.579000 (95.220860 ms, 43015 tok/s)
step   66/74: train loss 3.030378 (95.247709 ms, 43003 tok/s)
step   67/74: train loss 3.295958 (95.229669 ms, 43011 tok/s)
step   68/74: train loss 3.676778 (95.227439 ms, 43012 tok/s)
step   69/74: train loss 3.297463 (95.241749 ms, 43006 tok/s)
