+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | dev/data/tinyshakespeare/tiny_shakespeare_train.bin |
| val data pattern      | dev/data/tinyshakespeare/tiny_shakespeare_val.bin  |
| output log file       | NULL                                               |
| batch size B          | 4                                                  |
| sequence length T     | 1024                                               |
| learning rate         | 0.000300                                           |
| val_loss_every        | 1000                                               |
| val_max_steps         | 20                                                 |
| sample_every          | 1000                                               |
| genT                  | 1                                                  |
+-----------------------+----------------------------------------------------+
| device                | NVIDIA GeForce RTX 4090                            |
| TF32                  | enabled                                            |
+-----------------------+----------------------------------------------------+
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
| train_num_batches     | 74                                                 |
| val_num_batches       | 8                                                  |
+-----------------------+----------------------------------------------------+
allocated 474 MiB for model parameters
allocated 5706 MiB for activations
val loss 4.513806
allocated 474 MiB for parameter gradients
allocated 252 MiB for activation gradients
allocated 474 MiB for AdamW optimizer state m
allocated 474 MiB for AdamW optimizer state v
step    1/74: train loss 4.287300 (86.532522 ms, 47334 tok/s)
step    2/74: train loss 4.721549 (84.876706 ms, 48258 tok/s)
step    3/74: train loss 4.390268 (84.863774 ms, 48265 tok/s)
step    4/74: train loss 3.627774 (84.876836 ms, 48258 tok/s)
step    5/74: train loss 3.717325 (84.866616 ms, 48263 tok/s)
step    6/74: train loss 4.013801 (84.858044 ms, 48268 tok/s)
step    7/74: train loss 4.110778 (84.854805 ms, 48270 tok/s)
step    8/74: train loss 3.623461 (84.861305 ms, 48266 tok/s)
step    9/74: train loss 3.965403 (84.874916 ms, 48259 tok/s)
step   10/74: train loss 3.581398 (84.874786 ms, 48259 tok/s)
step   11/74: train loss 4.028767 (84.858435 ms, 48268 tok/s)
step   12/74: train loss 3.813110 (84.873475 ms, 48260 tok/s)
step   13/74: train loss 4.029146 (84.853835 ms, 48271 tok/s)
step   14/74: train loss 3.884948 (84.859356 ms, 48268 tok/s)
step   15/74: train loss 3.711767 (84.866546 ms, 48264 tok/s)
step   16/74: train loss 3.552999 (84.851445 ms, 48272 tok/s)
step   17/74: train loss 3.987721 (84.862585 ms, 48266 tok/s)
step   18/74: train loss 3.808898 (84.854346 ms, 48270 tok/s)
step   19/74: train loss 3.534397 (84.874916 ms, 48259 tok/s)
step   20/74: train loss 3.677638 (84.846075 ms, 48275 tok/s)
step   21/74: train loss 3.608906 (84.877126 ms, 48257 tok/s)
step   22/74: train loss 3.611840 (84.860235 ms, 48267 tok/s)
step   23/74: train loss 3.147131 (84.857696 ms, 48269 tok/s)
step   24/74: train loss 3.344296 (84.859495 ms, 48268 tok/s)
step   25/74: train loss 3.707249 (84.858075 ms, 48268 tok/s)
step   26/74: train loss 3.539886 (84.856565 ms, 48269 tok/s)
step   27/74: train loss 3.843930 (84.850015 ms, 48273 tok/s)
step   28/74: train loss 3.445611 (84.869996 ms, 48262 tok/s)
step   29/74: train loss 3.318139 (84.856055 ms, 48269 tok/s)
step   30/74: train loss 3.279975 (84.851825 ms, 48272 tok/s)
step   31/74: train loss 3.154766 (84.859285 ms, 48268 tok/s)
step   32/74: train loss 3.445007 (84.881416 ms, 48255 tok/s)
