+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | dev/data/tinyshakespeare/tiny_shakespeare_train.bin |
| val data pattern      | dev/data/tinyshakespeare/tiny_shakespeare_val.bin  |
| output log file       | NULL                                               |
| batch size B          | 4                                                  |
| sequence length T     | 1024                                               |
| learning rate         | 0.000300                                           |
| val_loss_every        | 1000                                               |
| val_max_steps         | 20                                                 |
| sample_every          | 1000                                               |
| genT                  | 1                                                  |
+-----------------------+----------------------------------------------------+
| device                | NVIDIA GeForce RTX 4090                            |
| TF32                  | enabled                                            |
+-----------------------+----------------------------------------------------+
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
| train_num_batches     | 74                                                 |
| val_num_batches       | 8                                                  |
+-----------------------+----------------------------------------------------+
allocated 474 MiB for model parameters
allocated 5706 MiB for activations
val loss 4.513806
allocated 474 MiB for parameter gradients
allocated 252 MiB for activation gradients
allocated 474 MiB for AdamW optimizer state m
allocated 474 MiB for AdamW optimizer state v
step    1/74: train loss 4.287300 (85.626144 ms, 47835 tok/s)
step    2/74: train loss 4.721579 (84.134776 ms, 48683 tok/s)
step    3/74: train loss 4.390256 (84.140235 ms, 48680 tok/s)
step    4/74: train loss 3.627807 (84.130145 ms, 48686 tok/s)
step    5/74: train loss 3.717352 (84.148666 ms, 48675 tok/s)
step    6/74: train loss 4.013824 (84.152785 ms, 48673 tok/s)
step    7/74: train loss 4.110974 (84.141846 ms, 48679 tok/s)
step    8/74: train loss 3.623395 (84.160155 ms, 48669 tok/s)
step    9/74: train loss 3.965406 (84.154036 ms, 48672 tok/s)
step   10/74: train loss 3.581365 (84.166696 ms, 48665 tok/s)
step   11/74: train loss 4.028786 (84.147396 ms, 48676 tok/s)
step   12/74: train loss 3.813135 (84.156257 ms, 48671 tok/s)
step   13/74: train loss 4.029190 (84.126106 ms, 48688 tok/s)
step   14/74: train loss 3.884960 (84.156716 ms, 48671 tok/s)
step   15/74: train loss 3.711801 (84.156426 ms, 48671 tok/s)
step   16/74: train loss 3.553195 (84.139495 ms, 48681 tok/s)
step   17/74: train loss 3.987609 (84.134456 ms, 48683 tok/s)
step   18/74: train loss 3.808932 (84.147536 ms, 48676 tok/s)
step   19/74: train loss 3.534435 (84.137075 ms, 48682 tok/s)
step   20/74: train loss 3.677719 (84.146156 ms, 48677 tok/s)
step   21/74: train loss 3.608968 (84.155107 ms, 48672 tok/s)
step   22/74: train loss 3.611801 (84.157457 ms, 48670 tok/s)
step   23/74: train loss 3.147247 (84.158756 ms, 48669 tok/s)
step   24/74: train loss 3.344283 (84.131005 ms, 48685 tok/s)
step   25/74: train loss 3.707124 (84.139196 ms, 48681 tok/s)
step   26/74: train loss 3.539953 (84.145426 ms, 48677 tok/s)
step   27/74: train loss 3.843795 (84.153486 ms, 48672 tok/s)
step   28/74: train loss 3.445614 (84.132345 ms, 48685 tok/s)
step   29/74: train loss 3.317975 (84.132326 ms, 48685 tok/s)
step   30/74: train loss 3.279965 (84.134756 ms, 48683 tok/s)
step   31/74: train loss 3.154708 (84.137067 ms, 48682 tok/s)
step   32/74: train loss 3.445000 (84.132955 ms, 48684 tok/s)
step   33/74: train loss 3.566353 (84.137747 ms, 48682 tok/s)
step   34/74: train loss 3.486820 (84.146557 ms, 48676 tok/s)
step   35/74: train loss 3.721609 (84.132256 ms, 48685 tok/s)
