+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | dev/data/tinyshakespeare/tiny_shakespeare_train.bin |
| val data pattern      | dev/data/tinyshakespeare/tiny_shakespeare_val.bin  |
| output log file       | NULL                                               |
| batch size B          | 4                                                  |
| sequence length T     | 1024                                               |
| learning rate         | 0.000300                                           |
| val_loss_every        | 1000                                               |
| val_max_steps         | 20                                                 |
| sample_every          | 1000                                               |
| genT                  | 1                                                  |
+-----------------------+----------------------------------------------------+
| device                | NVIDIA GeForce RTX 4090                            |
| TF32                  | enabled                                            |
+-----------------------+----------------------------------------------------+
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
| train_num_batches     | 74                                                 |
| val_num_batches       | 8                                                  |
+-----------------------+----------------------------------------------------+
allocated 474 MiB for model parameters
allocated 5706 MiB for activations
val loss 4.503176
allocated 474 MiB for parameter gradients
allocated 252 MiB for activation gradients
allocated 474 MiB for AdamW optimizer state m
allocated 474 MiB for AdamW optimizer state v
step    1/74: train loss 4.275633 (72.121473 ms, 56793 tok/s)
step    2/74: train loss 4.860518 (70.610932 ms, 58008 tok/s)
step    3/74: train loss 4.385196 (70.587061 ms, 58027 tok/s)
step    4/74: train loss 3.647784 (70.590820 ms, 58024 tok/s)
step    5/74: train loss 3.737192 (70.607931 ms, 58010 tok/s)
step    6/74: train loss 4.021559 (70.598042 ms, 58018 tok/s)
step    7/74: train loss 4.118628 (70.603361 ms, 58014 tok/s)
step    8/74: train loss 3.631076 (70.578111 ms, 58034 tok/s)
step    9/74: train loss 3.971866 (70.589960 ms, 58025 tok/s)
step   10/74: train loss 3.597184 (70.590972 ms, 58024 tok/s)
step   11/74: train loss 4.027983 (70.596942 ms, 58019 tok/s)
step   12/74: train loss 3.813619 (70.588761 ms, 58026 tok/s)
step   13/74: train loss 4.029411 (70.591361 ms, 58024 tok/s)
step   14/74: train loss 3.891977 (70.595671 ms, 58020 tok/s)
step   15/74: train loss 3.718861 (70.573961 ms, 58038 tok/s)
step   16/74: train loss 3.558002 (70.584822 ms, 58029 tok/s)
step   17/74: train loss 3.995133 (70.579171 ms, 58034 tok/s)
step   18/74: train loss 3.815980 (70.585501 ms, 58028 tok/s)
step   19/74: train loss 3.536561 (70.605442 ms, 58012 tok/s)
step   20/74: train loss 3.682663 (70.592101 ms, 58023 tok/s)
step   21/74: train loss 3.611476 (70.599871 ms, 58017 tok/s)
step   22/74: train loss 3.614912 (70.600200 ms, 58016 tok/s)
step   23/74: train loss 3.151556 (70.592342 ms, 58023 tok/s)
step   24/74: train loss 3.347734 (70.604222 ms, 58013 tok/s)
