+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | dev/data/tinyshakespeare/tiny_shakespeare_train.bin |
| val data pattern      | dev/data/tinyshakespeare/tiny_shakespeare_val.bin  |
| output log file       | NULL                                               |
| batch size B          | 4                                                  |
| sequence length T     | 1024                                               |
| learning rate         | 0.000300                                           |
| val_loss_every        | 1000                                               |
| val_max_steps         | 20                                                 |
| sample_every          | 1000                                               |
| genT                  | 1                                                  |
+-----------------------+----------------------------------------------------+
| device                | NVIDIA GeForce RTX 4090                            |
| TF32                  | enabled                                            |
+-----------------------+----------------------------------------------------+
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
| train_num_batches     | 74                                                 |
| val_num_batches       | 8                                                  |
+-----------------------+----------------------------------------------------+
allocated 474 MiB for model parameters
allocated 5706 MiB for activations
val loss 4.513806
allocated 474 MiB for parameter gradients
allocated 252 MiB for activation gradients
allocated 474 MiB for AdamW optimizer state m
allocated 474 MiB for AdamW optimizer state v
step    1/74: train loss 4.287300 (85.771680 ms, 47754 tok/s)
step    2/74: train loss 4.721563 (84.135742 ms, 48683 tok/s)
step    3/74: train loss 4.390228 (84.137364 ms, 48682 tok/s)
step    4/74: train loss 3.627801 (84.159464 ms, 48669 tok/s)
step    5/74: train loss 3.717397 (84.147934 ms, 48676 tok/s)
step    6/74: train loss 4.013778 (84.149813 ms, 48675 tok/s)
step    7/74: train loss 4.110962 (84.133824 ms, 48684 tok/s)
step    8/74: train loss 3.623500 (84.142162 ms, 48679 tok/s)
step    9/74: train loss 3.965405 (84.161835 ms, 48668 tok/s)
step   10/74: train loss 3.581371 (84.117383 ms, 48693 tok/s)
step   11/74: train loss 4.028824 (84.173884 ms, 48661 tok/s)
step   12/74: train loss 3.813169 (84.145013 ms, 48677 tok/s)
step   13/74: train loss 4.029181 (84.153784 ms, 48672 tok/s)
step   14/74: train loss 3.885007 (84.152314 ms, 48673 tok/s)
step   15/74: train loss 3.711735 (84.159554 ms, 48669 tok/s)
step   16/74: train loss 3.553324 (84.142224 ms, 48679 tok/s)
step   17/74: train loss 3.987301 (84.134073 ms, 48684 tok/s)
step   18/74: train loss 3.809003 (84.153474 ms, 48672 tok/s)
step   19/74: train loss 3.534372 (84.142233 ms, 48679 tok/s)
step   20/74: train loss 3.677687 (84.144253 ms, 48678 tok/s)
step   21/74: train loss 3.609082 (84.131172 ms, 48685 tok/s)
step   22/74: train loss 3.611695 (84.147534 ms, 48676 tok/s)
step   23/74: train loss 3.147504 (84.144204 ms, 48678 tok/s)
step   24/74: train loss 3.344193 (84.139113 ms, 48681 tok/s)
step   25/74: train loss 3.706455 (84.155345 ms, 48671 tok/s)
step   26/74: train loss 3.539872 (84.143842 ms, 48678 tok/s)
